Iteration	CPUTime	PhysTime	Travels	CourFact
1	12	0	0.00679923181	0
2	16	0	0.0135984636	0
3	21	0	0.0203976954	0
4	25	0	0.0271969273	0
5	29	0	0.0339961591	0
6	33	0	0.0407953909	0
7	37	0	0.0475946227	0
8	41	0	0.0543938545	0
9	44	0	0.0611930863	0
10	48	0	0.0679923181	0
11	52	0	0.0747915499	0
12	56	0	0.0815907818	0
13	60	0	0.0883900136	0
14	63	0	0.0951892454	0
15	67	0	0.101988477	0
16	71	0	0.108787709	0
17	74	0	0.115586941	0
18	78	0	0.122386173	0
19	82	0	0.129185404	0
20	85	0	0.135984636	0
21	90	0	0.142783868	0
22	94	0	0.1495831	0
23	99	0	0.156382332	0
24	103	0	0.163181564	0
25	107	0	0.169980795	0
26	111	0	0.176780027	0
27	115	0	0.183579259	0
28	119	0	0.190378491	0
29	123	0	0.197177723	0
30	127	0	0.203976954	0
31	130	0	0.210776186	0
32	134	0	0.217575418	0
33	138	0	0.22437465	0
34	142	0	0.231173882	0
35	146	0	0.237973113	0
36	149	0	0.244772345	0
37	153	0	0.251571577	0
38	157	0	0.258370809	0
39	161	0	0.265170041	0
40	165	0	0.271969273	0
41	169	0	0.278768504	0
42	173	0	0.285567736	0
43	177	0	0.292366968	0
44	180	0	0.2991662	0
45	184	0	0.305965432	0
46	188	0	0.312764663	0
47	192	0	0.319563895	0
48	196	0	0.326363127	0
49	199	0	0.333162359	0
50	203	0	0.339961591	0
51	207	0	0.346760822	0
52	211	0	0.353560054	0
53	215	0	0.360359286	0
54	219	0	0.367158518	0
55	223	0	0.37395775	0
56	226	0	0.380756982	0
57	230	0	0.387556213	0
58	235	0	0.394355445	0
59	239	0	0.401154677	0
60	243	0	0.407953909	0
61	246	0	0.414753141	0
62	250	0	0.421552372	0
63	254	0	0.428351604	0
64	258	0	0.435150836	0
65	262	0	0.441950068	0
66	266	0	0.4487493	0
67	269	0	0.455548531	0
68	273	0	0.462347763	0
69	277	0	0.469146995	0
70	281	0	0.475946227	0
71	284	0	0.482745459	0
72	288	0	0.489544691	0
73	292	0	0.496343922	0
74	296	0	0.503143154	0
75	300	0	0.509942386	0
76	303	0	0.516741618	0
77	307	0	0.52354085	0
78	311	0	0.530340081	0
79	315	0	0.537139313	0
80	319	0	0.543938545	0
81	322	0	0.550737777	0
82	326	0	0.557537009	0
83	330	0	0.56433624	0
84	334	0	0.571135472	0
85	338	0	0.577934704	0
86	341	0	0.584733936	0
87	345	0	0.591533168	0
88	349	0	0.5983324	0
89	353	0	0.605131631	0
90	356	0	0.611930863	0
91	360	0	0.618730095	0
92	364	0	0.625529327	0
93	368	0	0.632328559	0
94	372	0	0.63912779	0
95	375	0	0.645927022	0
96	379	0	0.652726254	0
97	383	0	0.659525486	0
98	387	0	0.666324718	0
99	390	0	0.673123949	0
100	394	0	0.679923181	0
101	400	0	0.686722413	0
102	404	0	0.693521645	0
103	407	0	0.700320877	0
104	411	0	0.707120109	0
105	415	0	0.71391934	0
106	419	0	0.720718572	0
107	423	0	0.727517804	0
108	427	0	0.734317036	0
109	430	0	0.741116268	0
110	434	0	0.747915499	0
111	438	0	0.754714731	0
112	442	0	0.761513963	0
113	445	0	0.768313195	0
114	449	0	0.775112427	0
115	453	0	0.781911658	0
116	457	0	0.78871089	0
117	461	0	0.795510122	0
118	464	0	0.802309354	0
119	468	0	0.809108586	0
120	472	0	0.815907818	0
121	476	0	0.822707049	0
122	480	0	0.829506281	0
123	483	0	0.836305513	0
124	487	0	0.843104745	0
125	492	0	0.849903977	0
126	496	0	0.856703208	0
127	500	0	0.86350244	0
128	504	0	0.870301672	0
129	507	0	0.877100904	0
130	511	0	0.883900136	0
131	515	0	0.890699367	0
132	519	0	0.897498599	0
133	522	0	0.904297831	0
134	526	0	0.911097063	0
135	530	0	0.917896295	0
136	534	0	0.924695527	0
137	538	0	0.931494758	0
138	541	0	0.93829399	0
139	545	0	0.945093222	0
140	549	0	0.951892454	0
141	553	0	0.958691686	0
142	557	0	0.965490917	0
143	561	0	0.972290149	0
144	564	0	0.979089381	0
145	568	0	0.985888613	0
146	572	0	0.992687845	0
147	576	0	0.999487076	0
148	580	0	1.00628631	0
149	583	0	1.01308554	0
150	587	0	1.01988477	0
151	591	0	1.026684	0
152	595	0	1.03348324	0
153	598	0	1.04028247	0
154	602	0	1.0470817	0
155	606	0	1.05388093	0
156	610	0	1.06068016	0
157	613	0	1.06747939	0
158	617	0	1.07427863	0
159	621	0	1.08107786	0
160	625	0	1.08787709	0
161	629	0	1.09467632	0
162	633	0	1.10147555	0
163	636	0	1.10827479	0
164	640	0	1.11507402	0
165	644	0	1.12187325	0
166	648	0	1.12867248	0
167	651	0	1.13547171	0
168	655	0	1.14227094	0
169	659	0	1.14907018	0
170	663	0	1.15586941	0
171	666	0	1.16266864	0
172	670	0	1.16946787	0
173	674	0	1.1762671	0
174	678	0	1.18306634	0
175	682	0	1.18986557	0
176	685	0	1.1966648	0
177	689	0	1.20346403	0
178	693	0	1.21026326	0
179	697	0	1.21706249	0
180	700	0	1.22386173	0
181	704	0	1.23066096	0
182	708	0	1.23746019	0
183	712	0	1.24425942	0
184	716	0	1.25105865	0
185	720	0	1.25785789	0
186	723	0	1.26465712	0
187	727	0	1.27145635	0
188	731	0	1.27825558	0
189	735	0	1.28505481	0
190	739	0	1.29185404	0
191	743	0	1.29865328	0
192	747	0	1.30545251	0
193	752	0	1.31225174	0
194	756	0	1.31905097	0
195	760	0	1.3258502	0
196	764	0	1.33264944	0
197	768	0	1.33944867	0
198	772	0	1.3462479	0
199	776	0	1.35304713	0
200	780	0	1.35984636	0
201	786	0	1.36664559	0
202	790	0	1.37344483	0
203	793	0	1.38024406	0
204	797	0	1.38704329	0
205	801	0	1.39384252	0
206	805	0	1.40064175	0
207	809	0	1.40744099	0
208	812	0	1.41424022	0
209	816	0	1.42103945	0
210	819	0	1.42783868	0
211	823	0	1.43463791	0
212	827	0	1.44143714	0
213	830	0	1.44823638	0
214	834	0	1.45503561	0
215	838	0	1.46183484	0
216	842	0	1.46863407	0
217	846	0	1.4754333	0
218	849	0	1.48223254	0
219	853	0	1.48903177	0
220	857	0	1.495831	0
221	861	0	1.50263023	0
222	865	0	1.50942946	0
223	868	0	1.51622869	0
224	872	0	1.52302793	0
