Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
89	184	0	0.729470707	0	0	0	0	0	0	1000	0	0	0	3
90	186	0	0.737667007	0	0	0	0	0	0	1000	0	0	0	3
91	188	0	0.745863308	0	0	0	0	0	0	1000	0	0	0	3
92	190	0	0.754059608	0	0	0	0	0	0	1000	0	0	0	3
93	192	0	0.762255908	0	0	0	0	0	0	1000	0	0	0	3
94	193	0	0.770452208	0	0	0	0	0	0	1000	0	0	0	3
95	195	0	0.778648508	0	0	0	0	0	0	1000	0	0	0	3
96	197	0	0.786844808	0	0	0	0	0	0	1000	0	0	0	3
97	199	0	0.795041108	0	0	0	0	0	0	1000	0	0	0	3
98	201	0	0.803237408	0	0	0	0	0	0	1000	0	0	0	3
99	203	0	0.811433708	0	0	0	0	0	0	1000	0	0	0	3
100	205	0	0.819630008	0	0	0	0	0	0	1000	0	0	0	3
101	208	0	0.827826308	0	0	0	0	0	0	1000	0	0	0	3
102	210	0	0.836022608	0	0	0	0	0	0	1000	0	0	0	3
103	212	0	0.844218909	0	0	0	0	0	0	1000	0	0	0	3
104	214	0	0.852415209	0	0	0	0	0	0	1000	0	0	0	3
105	216	0	0.860611509	0	0	0	0	0	0	1000	0	0	0	3
106	218	0	0.868807809	0	0	0	0	0	0	1000	0	0	0	3
107	220	0	0.877004109	0	0	0	0	0	0	1000	0	0	0	3
108	222	0	0.885200409	0	0	0	0	0	0	1000	0	0	0	3
109	224	0	0.893396709	0	0	0	0	0	0	1000	0	0	0	3
110	227	0	0.901593009	0	0	0	0	0	0	1000	0	0	0	3
111	229	0	0.909789309	0	0	0	0	0	0	1000	0	0	0	3
112	231	0	0.917985609	0	0	0	0	0	0	1000	0	0	0	3
113	234	0	0.926181909	0	0	0	0	0	0	1000	0	0	0	3
114	236	0	0.934378209	0	0	0	0	0	0	1000	0	0	0	3
115	238	0	0.94257451	0	0	0	0	0	0	1000	0	0	0	3
116	241	0	0.95077081	0	0	0	0	0	0	1000	0	0	0	3
117	243	0	0.95896711	0	0	0	0	0	0	1000	0	0	0	3
118	245	0	0.96716341	0	0	0	0	0	0	1000	0	0	0	3
119	248	0	0.97535971	0	0	0	0	0	0	1000	0	0	0	3
120	250	0	0.98355601	0	0	0	0	0	0	1000	0	0	0	3
121	253	0	0.99175231	0	0	0	0	0	0	1000	0	0	0	3
122	255	0	0.99994861	0	0	0	0	0	0	1000	0	0	0	3
123	257	0	1.00814491	0	0	0	0	0	0.001	1000	0	0	0	3
124	259	0	1.01634121	0	0	0	0	0	0.001	1000	0	0	0	3
125	262	0	1.02453751	0	0	0	0	0	0.001	1000	0	0	0	3
126	264	0	1.03273381	0	0	0	0	0	0.001	1000	0	0	0	3
127	266	0	1.04093011	0	0	0	0	0	0.001	1000	0	0	0	3
128	269	0	1.04912641	0	0	0	0	0	0.001	1000	0	0	0	3
129	271	0	1.05732271	0	0	0	0	0	0.001	1000	0	0	0	3
130	273	0	1.06551901	0	0	0	0	0	0.001	1000	0	0	0	3
131	276	0	1.07371531	0	0	0	0	0	0.001	1000	0	0	0	3
132	278	0	1.08191161	0	0	0	0	0	0.001	1000	0	0	0	3
133	280	0	1.09010791	0	0	0	0	0	0.001	1000	0	0	0	3
134	283	0	1.09830421	0	0	0	0	0	0.001	1000	0	0	0	3
135	285	0	1.10650051	0	0	0	0	0	0.001	1000	0	0	0	3
136	287	0	1.11469681	0	0	0	0	0	0.001	1000	0	0	0	3
137	290	0	1.12289311	0	0	0	0	0	0.001	1000	0	0	0	3
138	292	0	1.13108941	0	0	0	0	0	0.001	1000	0	0	0	3
139	294	0	1.13928571	0	0	0	0	0	0.001	1000	0	0	0	3
140	297	0	1.14748201	0	0	0	0	0	0.001	1000	0	0	0	3
141	299	0	1.15567831	0	0	0	0	0	0.001	1000	0	0	0	3
142	301	0	1.16387461	0	0	0	0	0	0.001	1000	0	0	0	3
143	303	0	1.17207091	0	0	0	0	0	0.001	1000	0	0	0	3
144	305	0	1.18026721	0	0	0	0	0	0.001	1000	0	0	0	3
145	307	0	1.18846351	0	0	0	0	0	0.001	1000	0	0	0	3
146	309	0	1.19665981	0	0	0	0	0	0.001	1000	0	0	0	3
147	311	0	1.20485611	0	0	0	0	0	0.001	1000	0	0	0	3
148	313	0	1.21305241	0	0	0	0	0	0.001	1000	0	0	0	3
149	315	0	1.22124871	0	0	0	0	0	0.001	1000	0	0	0	3
150	317	0	1.22944501	0	0	0	0	0	0.001	1000	0	0	0	3
151	319	0	1.23764131	0	0	0	0	0	0.001	1000	0	0	0	3
152	321	0	1.24583761	0	0	0	0	0	0.001	1000	0	0	0	3
153	323	0	1.25403391	0	0	0	0	0	0.001	1000	0	0	0	3
154	325	0	1.26223021	0	0	0	0	0	0.001	1000	0	0	0	3
155	327	0	1.27042651	0	0	0	0	0	0.001	1000	0	0	0	3
156	329	0	1.27862281	0	0	0	0	0	0.001	1000	0	0	0	3
157	331	0	1.28681911	0	0	0	0	0	0.001	1000	0	0	0	3
158	333	0	1.29501541	0	0	0	0	0	0.001	1000	0	0	0	3
159	335	0	1.30321171	0	0	0	0	0	0.001	1000	0	0	0	3
160	337	0	1.31140801	0	0	0	0	0	0.001	1000	0	0	0	3
161	339	0	1.31960431	0	0	0	0	0	0.001	1000	0	0	0	3
162	341	0	1.32780061	0	0	0	0	0	0.001	1000	0	0	0	3
163	343	0	1.33599691	0	0	0	0	0	0.001	1000	0	0	0	3
164	345	0	1.34419321	0	0	0	0	0	0.001	1000	0	0	0	3
165	347	0	1.35238951	0	0	0	0	0	0.001	1000	0	0	0	3
166	349	0	1.36058581	0	0	0	0	0	0.001	1000	0	0	0	3
167	351	0	1.36878211	0	0	0	0	0	0.001	1000	0	0	0	3
168	353	0	1.37697841	0	0	0	0	0	0.001	1000	0	0	0	3
169	355	0	1.38517471	0	0	0	0	0	0.001	1000	0	0	0	3
170	357	0	1.39337101	0	0	0	0	0	0.001	1000	0	0	0	3
171	359	0	1.40156731	0	0	0	0	0	0.001	1000	0	0	0	3
172	361	0	1.40976361	0	0	0	0	0	0.001	1000	0	0	0	3
173	364	0	1.41795991	0	0	0	0	0	0.001	1000	0	0	0	3
174	366	0	1.42615621	0	0	0	0	0	0.001	1000	0	0	0	3
175	369	0	1.43435251	0	0	0	0	0	0.001	1000	0	0	0	3
176	371	0	1.44254881	0	0	0	0	0	0.001	1000	0	0	0	3
177	374	0	1.45074511	0	0	0	0	0	0.001	1000	0	0	0	3
178	376	0	1.45894141	0	0	0	0	0	0.001	1000	0	0	0	3
179	378	0	1.46713771	0	0	0	0	0	0.001	1000	0	0	0	3
180	381	0	1.47533401	0	0	0	0	0	0.001	1000	0	0	0	3
181	383	0	1.48353031	0	0	0	0	0	0.001	1000	0	0	0	3
182	385	0	1.49172662	0	0	0	0	0	0.001	1000	0	0	0	3
183	388	0	1.49992292	0	0	0	0	0	0.001	1000	0	0	0	3
184	390	0	1.50811922	0	0	0	0	0	0.001	1000	0	0	0	3
185	392	0	1.51631552	0	0	0	0	0	0.001	1000	0	0	0	3
186	394	0	1.52451182	0	0	0	0	0	0.001	1000	0	0	0	3
187	396	0	1.53270812	0	0	0	0	0	0.001	1000	0	0	0	3
188	398	0	1.54090442	0	0	0	0	0	0.001	1000	0	0	0	3
189	400	0	1.54910072	0	0	0	0	0	0.001	1000	0	0	0	3
