Name,MH 60  10.08%,
Chord(mm),200,
Radius(mm),0,
Thickness(%),100,
Origin(%),0,
Pitch(deg),0,
,,
Airfoil surface,,
X(mm),Y(mm),Z(mm)
200.000000,0.000000,0.0
199.333160,-0.021442,0.0
197.315398,-0.043714,0.0
193.970676,0.033812,0.0
189.388060,0.278256,0.0
183.663138,0.723106,0.0
176.913954,1.403502,0.0
169.293236,2.324626,0.0
160.952614,3.453906,0.0
152.034794,4.745270,0.0
142.679220,6.140562,0.0
133.018872,7.567384,0.0
123.160912,8.940134,0.0
113.185734,10.193238,0.0
103.170400,11.280288,0.0
93.187648,12.174388,0.0
83.321674,12.866510,0.0
73.667582,13.348320,0.0
64.319568,13.609456,0.0
55.370222,13.639598,0.0
46.900978,13.424756,0.0
38.979512,12.961588,0.0
31.668608,12.255084,0.0
25.023248,11.318414,0.0
19.094340,10.171530,0.0
13.926370,8.838208,0.0
9.551988,7.342312,0.0
5.982134,5.723750,0.0
3.229074,4.044908,0.0
1.300760,2.385040,0.0
0.311722,1.040168,0.0
0.126662,0.614898,0.0
0.021844,0.222648,0.0
0.000116,-0.015330,0.0
0.028666,-0.225294,0.0
0.123510,-0.421120,0.0
0.282118,-0.622078,0.0
0.613220,-0.930912,0.0
1.045254,-1.247454,0.0
1.258270,-1.384280,0.0
3.510748,-2.436470,0.0
6.765228,-3.442540,0.0
10.970364,-4.358496,0.0
16.082414,-5.147056,0.0
22.061246,-5.775140,0.0
28.871396,-6.225680,0.0
36.464294,-6.497542,0.0
44.782694,-6.599172,0.0
53.750914,-6.551764,0.0
63.277732,-6.373958,0.0
73.263754,-6.086212,0.0
83.603010,-5.710000,0.0
94.179302,-5.272272,0.0
104.868004,-4.794652,0.0
115.540374,-4.298786,0.0
126.065170,-3.799338,0.0
136.313044,-3.310022,0.0
146.157820,-2.838688,0.0
155.479180,-2.393584,0.0
164.163610,-1.979362,0.0
172.103382,-1.602950,0.0
179.198006,-1.264650,0.0
185.358096,-0.964776,0.0
190.506048,-0.698660,0.0
194.577002,-0.461788,0.0
197.531602,-0.240518,0.0
199.363622,-0.065242,0.0
200.000000,0.000000,0.0
,,
Camber line,,
X(mm),Y(mm),
0.021844,0.222648,
0.000116,-0.007665,
0.028666,0.011442,
0.123510,0.090991,
0.282118,0.175030,
0.613220,0.259613,
1.045254,0.395077,
1.258270,0.471492,
3.510748,0.890103,
6.765228,1.318131,
10.970364,1.734427,
16.082414,2.123703,
22.061246,2.485153,
28.871396,2.817567,
36.464294,3.110491,
44.782694,3.350864,
53.750914,3.523378,
63.277732,3.619503,
73.263754,3.636694,
83.603010,3.568387,
94.179302,3.406650,
104.868004,3.150690,
115.540374,2.799328,
126.065170,2.368185,
136.313044,1.885408,
146.157820,1.391537,
155.479180,0.926457,
164.163610,0.519895,
172.103382,0.191005,
179.198006,-0.045703,
185.358096,-0.186688,
190.506048,-0.240020,
194.577002,-0.221015,
197.531602,-0.140923,
199.363622,-0.042852,
200.000000,0.000000,
,,
Chord line,,
X(mm),Y(mm),
0.000000,0.000000,
200.000000,0.000000,
